OBJECTID,COD_REG,REGIONE,WIKIDATA,POP_2011,SEGGI_TOT,SEGGI_UNI,SEGGI_PRO,Shape_Leng,Shape_Area,MS_FB,MS_FB_PARE
,1,Piemonte,Q1216,4363916.00000000000,22,8,14,1333427.92992000002,25386696328.09999847412,country:it/region:pie,country:it
,2,Valle d'Aosta,Q1222,126806.00000000000,1,1,0,325836.36810099997,3260854220.03999996185,country:it/region:val,country:it
,3,Lombardia,Q1210,9704151.00000000000,49,18,31,1511131.90360999992,23863097455.79999923706,country:it/region:lom,country:it
,4,Trentino-Alto Adige,Q1237,1029475.00000000000,7,6,1,859873.13838999998,13604721579.79999923706,country:it/region:tre,country:it
,5,Veneto,Q1243,4855904.00000000000,24,9,15,1138952.29101000004,18344786734.29999923706,country:it/region:ven,country:it
,6,Friuli-Venezia Giulia,Q1250,1220291.00000000000,7,2,5,767297.15909900004,7924216711.38000011444,country:it/region:fri,country:it
,7,Liguria,Q1256,1570694.00000000000,8,3,5,1080307.42280999990,5416114113.32999992371,country:it/region:lig,country:it
,8,Emilia-Romagna,Q1263,4342135.00000000000,22,8,14,1260949.18038000003,22452212982.79999923706,country:it/region:emi,country:it
,9,Toscana,Q1273,3672202.00000000000,18,7,11,1545205.80165000004,22986579611.59999847412,country:it/region:tos,country:it
,10,Umbria,Q1280,884268.00000000000,7,2,5,671416.04125000001,8464223125.92000007629,country:it/region:umb,country:it
,11,Marche,Q1279,1541319.00000000000,8,3,5,711091.49553199997,9401183275.54999923706,country:it/region:mar,country:it
,12,Lazio,Q1282,5502886.00000000000,28,10,18,1201764.76432000007,17231723450.40000152588,country:it/region:laz,country:it
,13,Abruzzo,Q1284,1307309.00000000000,7,2,5,664538.00915800000,10831496160.50000000000,country:it/region:abr,country:it
,14,Molise,Q1443,313660.00000000000,2,1,1,471197.62674899999,4460436575.64000034332,country:it/region:mol,country:it
,15,Campania,Q1438,5766810.00000000000,29,11,18,1090752.83672000002,13670597003.79999923706,country:it/region:cam,country:it
,16,Puglia,Q1447,4052566.00000000000,20,8,12,1507342.39488000004,19540517727.59999847412,country:it/region:pug,country:it
,17,Basilicata,Q1452,578036.00000000000,7,1,6,675750.70631100005,10073110438.20000076294,country:it/region:bas,country:it
,18,Calabria,Q1458,1959050.00000000000,10,4,6,934657.54501799995,15221614078.70000076294,country:it/region:cal,country:it
,19,Sicilia,Q1460,5002904.00000000000,25,9,16,1731333.00402000011,25832016165.79999923706,country:it/region:sic,country:it
,20,Sardegna,Q1462,1639362.00000000000,8,3,5,2128723.50663999980,24099792532.59999847412,country:it/region:sar,country:it
